,text,label,ppl
0,"watching angel angel movie is like eating a banquet of but meringue. it initially looks great but ultimately provides no satisfaction - - none. < br > < br / > the plot is a muddled mess about a toy factory and the forces of evil. so, word. is it possible that with this basic plot and robin williams that the movie still turns out so badly?! it's because the picture is all appearance with no substance whatsoever - - much like the terrible popeye picture williams did at the beginning of his film career. the film must have cost a fortune perhaps there wasn't enough money left over to hire writers who had graduated grade school. < br / > < br / > the film is one unfunny joke that goes on and on and on and on. i really am unsure it was made in the first place - - it certainly wasn't made to provide any sort of entertainment.","[0.6985394228960216, 0.3014605771039784]",70.8762435913086
1,"Watching this movie is like eating a banquet of nothing but meringue. It initially looks great but ultimately provides NO satisfaction--none.<br /><br />The plot is a muddled mess about a toy factory and the forces of evil. So, how is it possible that with this basic plot AND Robin Williams that the movie still turns out so badly?! It's because the picture is all appearance with no substance whatsoever--much like the terrible Popeye picture Williams did at the beginning of his film career. The film must have cost a fortune but perhaps there wasn't enough money left over to hire writers who had graduated grade school.<br /><br />The film is one unfunny joke that goes on and on and on and on. I really am unsure why it was made in the first place--it certainly wasn't made to provide any sort of entertainment.","[1, 0]",
2,"Naming the absolutely most pathetic piece of crap in cinematic history is not an easy task, candidates being so abundant, but Nemesis 2 has been my personal favorite ever since I saw it. It was so funny we had to rent it again the next day, and again I laughed so hard I was literally rolling on the floor. (This usually only happens when I see Monty Python's ""Scott of the Antarctic"".)<br /><br />Throughout the whole movie, an overwhelming what-the-heck-feeling firmly grasps the viewer. I'm utterly confounded that this clumsy home video ever made it to production stage. It's supposed to be a sequel, yet has no apparent connection whatsoever with the first film. The hero has the same name, but this time ""Alex"" is female, although it took us half way into the movie to stop guessing, what with all the muscles and the barbarian-nomad outfit!<br /><br />There is really no plot at all, it's merely a prolonged chase scene, only it's so slow-paced and senseless that calling it a chase scene makes it sound way more interesting than it really is. There is almost no dialogue, which is just as well considering the quality of it, and then the film suddenly just comes to an abrupt end after a blatant action scene with lots of gasoline explosions, without ever really explaining what it was all about. Luckily, it never gets boring, because there's something silly and phony going on at all times!<br /><br />Terrible movies are usually just tedious, but Nemesis 2 is such a perfect mixture of over-seriousness and utter nonintentional wackiness that it's truly entertaining. Rent this film, or buy it even, you won't be disappointed!","[0.985673184303196, 0.014326815696804052]",42.09687805175781
3,"Naming the absolutely most pathetic piece of crap in cinematic history is not an easy task, candidates being so abundant, but Nemesis 2 has been my personal favorite ever since I saw it. It was so funny we had to rent it again the next day, and again I laughed so hard I was literally rolling on the floor. (This usually only happens when I see Monty Python's ""Scott of the Antarctic"".)<br /><br />Throughout the whole movie, an overwhelming what-the-heck-feeling firmly grasps the viewer. I'm utterly confounded that this clumsy home video ever made it to production stage. It's supposed to be a sequel, yet has no apparent connection whatsoever with the first film. The hero has the same name, but this time ""Alex"" is female, although it took us half way into the movie to stop guessing, what with all the muscles and the barbarian-nomad outfit!<br /><br />There is really no plot at all, it's merely a prolonged chase scene, only it's so slow-paced and senseless that calling it a chase scene makes it sound way more interesting than it really is. There is almost no dialogue, which is just as well considering the quality of it, and then the film suddenly just comes to an abrupt end after a blatant action scene with lots of gasoline explosions, without ever really explaining what it was all about. Luckily, it never gets boring, because there's something silly and phony going on at all times!<br /><br />Terrible movies are usually just tedious, but Nemesis 2 is such a perfect mixture of over-seriousness and utter nonintentional wackiness that it's truly entertaining. Rent this film, or buy it even, you won't be disappointed!","[1, 0]",
4,"after can clearly see now why robin, terrible batman. dead dead first of knew i had to i had this this worst ever thing bbc has aired about the opening scenes as and intelligent < < br / >, pressing hood to view no character the i and i for fight for for for hideous short short from part of far far like robin like sno some - in make trying new bring up the beginning of the episode - character. people eye greeted put with a greatly 12th put together?. the movie that'movie t improved since then, as this, love quickly put people'love to hopes down, and is essentially was cr only long long a great hero < br / world / >d. world's world / < br / > end and you? some. won. < t br for > < br / > what is a wise the the short!","[0.583693025295125, 0.416306974704875]",701.9546508789062
5,"I can clearly see now why Robin Hood flopped quickly. The first episode of it is probably the worst ever thing BBC has aired. The opening scenes were about as intense, meaningful and intelligent as two monkeys fighting, Robin Hood had no character, and the sword fight was just laughable. The worst part of the episode was Robin Hood snogging some cow clad in make-up at the beginning of the episode - how many people wore eyeliner in the 12th century? Nobody. The series may have improved drastically since then, but this first episode quickly put people's hopes down, and is essentially a pile of cr*p. A great hero of England has been disgraced.<br /><br />""Will You Tolerate This?"" I won't, that's for sure, unless the BBC start to understand what is a wise investment. 3/10","[1, 0]",
6,"it of the worst i've recommended ever, but gr is much morening. this is more well and the and and and. the simpsons. i laughed.. it of the gets gets when watched in in low i ( when you thought "" "" "" it,'ll "".. the is i'talking a few and a is ),'''( i hear "" for the how you how time ) are are in and it seems like it'shot by an amateur camcor take simple like it looks more like a for for show. than. though. that that at that year've had patience to watch sha to the. with with a a single watch it. no razor! go watch ju - on : the. t t overload over movie. < br > br > if i talking guns, etc of.., i don't even know if i'once classify it to a horror. just some - budget... < > < tuesday is > i rate it 3 out of","[0.5579811260154884, 0.44201887398451156]",395.2064514160156
7,"It is one of the worst movies i've ever seen, but Hostel is definitely much more worse. This movie is more funny and ridiculous, than scary. I laughed most of the time when watched it. Low quality effects (when you gonna watch it, you'll understand what i'm talking about and HOW LOW quality is that), bad actors (i hear of them for the first time), and it seems like it's shot by an amateur camcorder (so it looks more like a TV show, than a movie). But at least i've had the patience to watch it till the end. Like comedies? Watch it. Wanna horror? Go watch Ju-On: The Grudge or some other good horror movie.<br /><br />If i'm talking about the Legend of Diablo, i don't even know if i can classify it to a Horror genre. Just some low-budget crap.<br /><br />I rate it 3 out of 10","[1, 0]",
8,"watching this movie? l thought series when, what a a lot of garbage. these girls must have rocks for brains for even couple of be part of it. first of time medical school, faint heavens was only hired it. the acting was the standard explained. sure was, some things sure, contemplating watching this film but please save your. the has no years at all l quite understand quite understand. would would suggest this would than attack of the green - "". student / > < br / > a to hope that this piece of trash't cost too much to make. money would have been better spent on the ll people of the world. as i as ve't a sequel in the -.","[0.6468173535307942, 0.3531826464692058]",340.0035705566406
9,"Watching this Movie? l thought to myself, what a lot of garbage. These girls must have rocks for brains for even agreeing to be part of it. Waste of time watching it, faint heavens l only hired it. The acting was below standard and story was unbearable. Anyone contemplating watching this film, please save your money. The film has no credit at all. l am a real film buff and this is worse than ""Attack of the Green Tomatoes"".<br /><br />l only hope that this piece of trash didn't cost too much to make. Money would have been better spent on the homeless people of the world. l only hope there isn't a sequel in the pipeline.","[1, 0]",
